fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
06. Aug;0.51;0.01;02. Jan;0.074;9;25;0.9958;Mrz 33;0.56;09. Mai;6
09. Apr;0.43;0.24;02. Aug;0.092;14;45;0.998;Mrz 19;0.73;10;6
09. Mai;0.46;0.24;02. Jul;0.092;14;44;0.998;03. Dez;0.74;10;6
5;01. Apr;0.24;01. Jun;0.05;32;96;0.9934;Mrz 74;0.62;11. Mai;5
15. Mai;0.645;0.49;04. Feb;0.095;10;23;100.315;Feb 92;0.74;11. Jan;5
15. Mai;0.645;0.49;04. Feb;0.095;10;23;100.315;Feb 92;0.74;11. Jan;5
10. Sep;0.53;0.49;04. Jun;0.118;10;17;10.002;03. Jul;0.56;11. Jul;6
15. Jun;0.645;0.49;04. Feb;0.095;10;23;100.315;Feb 92;0.74;11. Jan;5
10. Sep;0.53;0.49;04. Jun;0.118;10;17;10.002;03. Jul;0.56;11. Jul;6
13;0.47;0.49;04. Mrz;0.085;6;47;10.021;03. Mrz;0.68;12. Jul;6
12. Jul;0.6;0.49;02. Aug;0.075;5;19;0.9994;Mrz 14;0.57;11. Apr;5
9;0.44;0.49;02. Apr;0.078;26;121;0.9978;Mrz 23;0.58;09. Feb;5
9;0.54;0.49;02. Sep;0.094;41;110;0.9982;03. Aug;0.61;09. Feb;5
07. Jun;0.29;0.49;02. Jul;0.092;25;60;0.9971;Mrz 31;0.61;10. Jan;6
13;0.47;0.49;04. Mrz;0.085;6;47;10.021;03. Mrz;0.68;12. Jul;6
12. Jul;0.6;0.49;02. Aug;0.075;5;19;0.9994;Mrz 14;0.57;11. Apr;5
08. Jul;0.7;0.24;02. Mai;0.226;5;15;0.9991;Mrz 32;0.6;9;6
08. Jul;0.7;0.24;02. Mai;0.226;5;15;0.9991;Mrz 32;0.6;9;6
09. Aug;0.5;0.49;02. Jun;0.25;5;20;0.999;Mrz 31;0.79;10. Jul;6
06. Feb;0.36;0.24;02. Feb;0.095;19;42;0.9946;Mrz 57;0.57;11. Jul;6
11. Mai;0.35;0.49;03. Mrz;0.07;10;37;10.003;Mrz 32;0.91;11;6
06. Feb;0.36;0.24;02. Feb;0.095;19;42;0.9946;Mrz 57;0.57;11. Jul;6
10. Feb;0.24;0.49;02. Apr;0.075;10;28;0.9978;Mrz 14;0.61;10. Apr;5
10. Mai;0.59;0.49;02. Jan;0.07;14;47;0.9991;03. Mrz;0.56;09. Jun;4
10. Jun;0.34;0.49;03. Feb;0.078;20;78;0.9992;Mrz 19;0.7;10;6
12. Mrz;0.27;0.49;03. Jan;0.079;28;46;0.9993;03. Feb;0.8;10. Feb;6
09. Sep;0.5;0.24;02. Mrz;0.103;6;14;0.9978;Mrz 34;0.52;10;4
08. Aug;0.44;0.49;02. Aug;0.083;18;111;0.9982;03. Mrz;0.6;09. Mai;5
08. Aug;0.47;0.49;02. Sep;0.085;17;110;0.9982;Mrz 29;0.6;09. Aug;5
10. Jun;0.31;0.49;02. Feb;0.063;18;40;0.9976;Mrz 14;0.51;09. Aug;6
12. Mrz;0.5;0.49;02. Feb;0.089;5;14;10.002;Mrz 19;0.44;09. Jun;5
12. Mrz;0.5;0.49;02. Feb;0.089;5;14;10.002;Mrz 19;0.44;09. Jun;5
11. Jul;0.49;0.49;02. Feb;0.083;5;15;1;Mrz 19;0.43;09. Feb;5
12;0.28;0.49;01. Sep;0.074;10;21;0.9976;Feb 98;0.66;09. Sep;7
11. Aug;0.33;0.49;03. Apr;0.093;54;80;10.002;03. Mrz;0.76;10. Jul;7
07. Jun;0.51;0.24;02. Apr;0.091;8;38;0.998;Mrz 47;0.66;09. Jun;6
11. Jan;0.31;0.49;02. Jul;0.094;16;47;0.9986;03. Dez;01. Feb;10. Jun;7
07. Mrz;0.73;0.24;01. Sep;0.108;18;102;0.9967;Mrz 26;0.59;09. Mrz;5
5;0.42;0.24;2;0.06;19;50;0.9917;Mrz 72;0.74;14;8
10. Feb;0.29;0.49;02. Jun;0.059;5;13;0.9976;03. Mai;0.74;10. Mai;7
9;0.45;0.49;02. Jun;0.084;21;75;0.9987;Mrz 35;0.57;09. Jul;5
06. Jun;0.39;0.49;01. Jul;0.07;23;149;0.9922;03. Dez;0.5;11. Mai;6
9;0.45;0.49;02. Jun;0.084;21;75;0.9987;Mrz 35;0.57;09. Jul;5
09. Sep;0.49;0.58;03. Mai;0.094;9;43;10.004;Mrz 29;0.58;9;5
07. Sep;0.72;0.17;02. Jun;0.096;20;38;0.9978;03. Apr;0.53;09. Mai;5
08. Sep;0.595;0.41;07. Sep;0.086;30;109;0.9998;Mrz 27;0.57;09. Mrz;5
12. Apr;0.4;0.51;2;0.059;6;24;0.9994;03. Apr;0.6;09. Mrz;6
11. Sep;0.58;0.58;01. Sep;0.071;5;18;0.998;03. Sep;0.63;10;6
08. Mai;0.585;0.18;02. Jan;0.078;5;30;0.9967;03. Feb;0.48;09. Aug;6
12. Jul;0.59;0.45;02. Mrz;0.082;11;22;1;3;0.7;09. Mrz;6
08. Feb;0.915;0.27;02. Jan;0.088;7;23;0.9962;Mrz 26;0.47;10;4
13. Feb;0.46;0.52;02. Feb;0.071;12;35;10.006;03. Jan;0.56;9;6
07. Jul;0.835;0;02. Jun;0.081;6;14;0.9975;03. Mrz;0.52;09. Mrz;5
13. Feb;0.46;0.52;02. Feb;0.071;12;35;10.006;03. Jan;0.56;9;6
08. Mrz;0.58;0.13;02. Sep;0.096;14;63;0.9984;Mrz 17;0.62;09. Jan;6
08. Mrz;0.6;0.13;02. Jun;0.085;6;24;0.9984;Mrz 31;0.59;09. Feb;6
09. Apr;0.41;0.48;04. Jun;0.072;10;20;0.9973;Mrz 34;0.79;12. Feb;7
08. Aug;0.48;0.41;03. Mrz;0.092;26;52;0.9982;Mrz 31;0.53;10. Mai;6
10. Jan;0.65;0.37;05. Jan;0.11;11;65;10.026;Mrz 32;0.64;10. Apr;6
06. Mrz;0.36;0.19;03. Feb;0.075;15;39;0.9956;Mrz 56;0.52;12. Jul;6
08. Aug;0.24;0.54;02. Mai;0.083;25;57;0.9983;Mrz 39;0.54;09. Feb;5
13. Feb;0.38;0.55;02. Jul;0.081;5;16;10.006;Feb 98;0.54;09. Apr;5
07. Mai;0.64;0;02. Apr;0.077;18;29;0.9965;Mrz 32;0.6;10;6
08. Feb;0.39;0.38;01. Mai;0.058;10;29;0.9962;Mrz 26;0.74;09. Aug;5
09. Feb;0.755;0.18;02. Feb;0.148;10;103;0.9969;Feb 87;Jan 36;10. Feb;6
09. Jun;0.6;0.5;02. Mrz;0.079;28;71;0.9997;03. Mai;0.57;09. Jul;5
09. Jun;0.6;0.5;02. Mrz;0.079;28;71;0.9997;03. Mai;0.57;09. Jul;5
11. Mai;0.31;0.51;02. Feb;0.079;14;28;0.9982;03. Mrz;0.93;09. Aug;6
11. Apr;0.46;0.5;02. Jul;0.122;4;17;10.006;Mrz 13;0.7;10. Feb;5
11. Mrz;0.37;0.41;02. Mrz;0.088;6;16;0.9988;03. Sep;0.8;09. Mrz;5
08. Mrz;0.54;0.24;03. Apr;0.076;16;112;0.9976;Mrz 27;0.61;09. Apr;5
08. Feb;0.56;0.23;03. Apr;0.078;14;104;0.9976;Mrz 28;0.62;09. Apr;5
10;0.58;0.22;01. Sep;0.08;9;32;0.9974;Mrz 13;0.55;09. Mai;5
07. Sep;0.51;0.25;02. Sep;0.077;21;45;0.9974;Mrz 49;0.96;12. Jan;6
06. Aug;0.69;0;05. Jun;0.124;21;58;0.9997;Mrz 46;0.72;10. Feb;5
06. Aug;0.69;0;05. Jun;0.124;21;58;0.9997;Mrz 46;0.72;10. Feb;5
08. Aug;0.6;0.29;02. Feb;0.098;5;15;0.9988;Mrz 36;0.49;09. Jan;5
08. Aug;0.6;0.29;02. Feb;0.098;5;15;0.9988;Mrz 36;0.49;09. Jan;5
08. Jul;0.54;0.26;02. Mai;0.097;7;31;0.9976;Mrz 27;0.6;09. Mrz;6
07. Jun;0.685;0.23;02. Mrz;0.111;20;84;0.9964;Mrz 21;0.61;09. Mrz;5
08. Jul;0.54;0.26;02. Mai;0.097;7;31;0.9976;Mrz 27;0.6;09. Mrz;6
10. Apr;0.28;0.54;02. Jul;0.105;5;19;0.9988;Mrz 25;0.63;09. Mai;5
07. Jun;0.41;0.14;3;0.087;21;43;0.9964;Mrz 32;0.57;10. Mai;6
10. Jan;0.935;0.22;03. Apr;0.105;11;86;1.001;Mrz 43;0.64;11. Mrz;4
07. Sep;0.35;0.21;01. Sep;0.073;46;102;0.9964;Mrz 27;0.58;09. Mai;5
08. Jul;0.84;0;01. Apr;0.065;24;33;0.9954;Mrz 27;0.55;09. Jul;5
09. Jun;0.88;0.28;02. Apr;0.086;30;147;0.9979;Mrz 24;0.53;09. Apr;5
09. Mai;0.885;0.27;02. Mrz;0.084;31;145;0.9978;Mrz 24;0.53;09. Apr;5
07. Jul;0.915;0.12;02. Feb;0.143;7;23;0.9964;Mrz 35;0.65;10. Feb;7
08. Sep;0.29;0.35;01. Sep;0.067;25;57;0.997;Mrz 18;Jan 36;10. Mrz;6
09. Sep;0.54;0.45;02. Mrz;0.071;16;40;0.9991;Mrz 39;0.62;09. Apr;5
09. Mai;0.59;0.44;02. Mrz;0.071;21;68;0.9992;Mrz 46;0.63;09. Mai;5
09. Sep;0.54;0.45;02. Mrz;0.071;16;40;0.9991;Mrz 39;0.62;09. Apr;5
09. Mai;0.59;0.44;02. Mrz;0.071;21;68;0.9992;Mrz 46;0.63;09. Mai;5
09. Sep;0.54;0.45;02. Mrz;0.071;16;40;0.9991;Mrz 39;0.62;09. Apr;5
07. Aug;0.64;0.1;6;0.115;5;11;0.9984;Mrz 37;0.69;10. Jan;7
07. Mrz;0.67;0.05;03. Jun;0.107;6;20;0.9972;03. Apr;0.63;10. Jan;5
08. Mrz;0.845;0.01;02. Feb;0.07;5;14;0.9967;Mrz 32;0.58;11;4
08. Jul;0.48;0.3;02. Aug;0.066;10;28;0.9964;Mrz 33;0.67;11. Feb;7
06. Jul;0.42;0.27;08. Jun;0.068;24;148;0.9948;Mrz 16;0.57;11. Mrz;6
10. Jul;0.43;0.39;02. Feb;0.106;8;32;0.9986;Feb 89;0.5;09. Jun;5
09. Aug;0.88;0.25;02. Mai;0.104;35;155;1.001;Mrz 41;0.67;11. Feb;5
15. Sep;0.36;0.65;07. Mai;0.096;22;71;0.9976;Feb 98;0.84;14. Sep;5
09. Apr;0.33;0.59;02. Aug;0.079;9;30;0.9976;03. Dez;0.54;12;6
08. Jun;0.47;0.47;02. Apr;0.074;7;29;0.9979;03. Aug;0.46;09. Mai;5
09. Jul;0.55;0.17;02. Sep;0.087;20;53;10.004;Mrz 14;0.61;09. Apr;5
10. Jul;0.43;0.39;02. Feb;0.106;8;32;0.9986;Feb 89;0.5;09. Jun;5
12;0.5;0.59;01. Apr;0.073;23;42;0.998;Feb 92;0.68;10. Mai;7
07. Feb;0.52;0.07;01. Apr;0.074;5;20;0.9973;Mrz 32;0.81;09. Jun;6
07. Jan;0.84;0.02;04. Apr;0.096;5;13;0.997;Mrz 41;0.57;11;4
07. Feb;0.52;0.07;01. Apr;0.074;5;20;0.9973;Mrz 32;0.81;09. Jun;6
07. Mai;0.42;0.31;01. Jun;0.08;15;42;0.9978;Mrz 31;0.64;9;5
07. Feb;0.57;0.06;01. Jun;0.076;9;27;0.9972;Mrz 36;0.7;09. Jun;6
10. Jan;0.28;0.46;01. Aug;0.05;5;13;0.9974;03. Apr;0.79;10. Feb;6
12. Jan;0.4;0.52;2;0.092;15;54;1;03. Mrz;0.66;10. Feb;5
09. Apr;0.59;0.14;2;0.084;25;48;0.9981;Mrz 14;0.56;09. Jul;5
08. Mrz;0.49;0.36;01. Aug;0.222;6;16;0.998;Mrz 18;0.6;09. Mai;6
11. Mrz;0.34;0.45;2;0.082;6;15;0.9988;Feb 94;0.66;09. Feb;6
10;0.73;0.43;02. Mrz;0.059;15;31;0.9966;Mrz 15;0.57;11;5
11. Mrz;0.34;0.45;2;0.082;6;15;0.9988;Feb 94;0.66;09. Feb;6
06. Sep;0.4;0.24;02. Mai;0.083;30;45;0.9959;Mrz 26;0.58;10;5
08. Feb;0.73;0.21;01. Jul;0.074;5;13;0.9968;03. Feb;0.52;09. Mai;5
09. Aug;Jan 24;0.34;2;0.079;32;151;0.998;Mrz 15;0.53;09. Mai;5
08. Feb;0.73;0.21;01. Jul;0.074;5;13;0.9968;03. Feb;0.52;09. Mai;5
10. Aug;0.4;0.41;02. Feb;0.084;7;17;0.9984;03. Aug;0.67;09. Mrz;6
09. Mrz;0.41;0.39;02. Feb;0.064;12;31;0.9984;Mrz 26;0.65;10. Feb;5
10. Aug;0.4;0.41;02. Feb;0.084;7;17;0.9984;03. Aug;0.67;09. Mrz;6
08. Jun;0.8;0.11;02. Mrz;0.084;12;31;0.9979;03. Apr;0.48;09. Sep;5
08. Mrz;0.78;0.1;02. Jun;0.081;45;87;0.9983;Mrz 48;0.53;10;5
10. Aug;0.26;0.45;03. Mrz;0.06;20;49;0.9972;Mrz 13;0.54;09. Jun;5
13. Mrz;0.43;0.58;01. Sep;0.07;15;40;10.004;03. Jun;0.49;9;5
8;0.45;0.23;02. Feb;0.094;16;29;0.9962;Mrz 21;0.49;10. Feb;6
08. Mai;0.46;0.31;Feb 25;0.078;32;58;0.998;Mrz 33;0.54;09. Aug;5
08. Jan;0.78;0.23;02. Jun;0.059;5;15;0.997;Mrz 37;0.56;11. Mrz;5
09. Aug;0.98;0.32;02. Mrz;0.078;35;152;0.998;Mrz 25;0.48;09. Apr;5
08. Jan;0.78;0.23;02. Jun;0.059;5;15;0.997;Mrz 37;0.56;11. Mrz;5
07. Jan;0.65;0.18;01. Aug;0.07;13;40;0.997;Mrz 44;0.6;09. Jan;5
09. Jan;0.64;0.23;03. Jan;0.095;13;38;0.9998;Mrz 28;0.59;09. Jul;5
07. Jul;0.66;0.04;01. Jun;0.039;4;9;0.9962;03. Apr;0.47;09. Apr;5
08. Jan;0.38;0.48;01. Aug;0.157;5;17;0.9976;03. Mrz;01. Mai;09. Apr;5
07. Apr;1.185;0;Apr 25;0.097;5;14;0.9966;Mrz 63;0.54;10. Jul;3
09. Feb;0.92;0.24;02. Jun;0.087;12;93;0.9998;Mrz 48;0.54;09. Aug;5
08. Jun;0.49;0.51;2;0.422;16;62;0.9979;03. Mrz;Jan 17;9;5
9;0.48;0.32;02. Aug;0.084;21;122;0.9984;Mrz 32;0.62;09. Apr;5
9;0.47;0.31;02. Jul;0.084;24;125;0.9984;Mrz 31;0.61;09. Apr;5
05. Jan;0.47;0.02;01. Mrz;0.034;18;44;0.9921;03. Sep;0.62;12. Aug;6
7;0.65;0.02;02. Jan;0.066;8;25;0.9972;Mrz 47;0.67;09. Mai;6
7;0.65;0.02;02. Jan;0.066;8;25;0.9972;Mrz 47;0.67;09. Mai;6
09. Apr;0.615;0.28;03. Feb;0.087;18;72;10.001;Mrz 31;0.53;09. Jul;5
11. Aug;0.38;0.55;02. Jan;0.071;5;19;0.9986;03. Nov;0.62;10. Aug;6
10. Jun;01. Feb;0.43;02. Sep;0.076;26;88;0.9984;03. Aug;0.57;10. Jan;6
7;0.65;0.02;02. Jan;0.066;8;25;0.9972;Mrz 47;0.67;09. Mai;6
7;0.64;0.02;02. Jan;0.067;9;23;0.997;Mrz 47;0.67;09. Apr;6
07. Mai;0.38;0.48;02. Jun;0.073;22;84;0.9972;Mrz 32;0.7;09. Jun;4
09. Jan;0.765;0.04;01. Jun;0.078;4;14;0.998;Mrz 29;0.54;09. Jul;4
08. Apr;1.035;0.15;6;0.073;11;54;0.999;Mrz 37;0.49;09. Sep;5
7;0.78;0.08;2;0.093;10;19;0.9956;03. Apr;0.47;10;5
07. Apr;0.49;0.19;3;0.077;16;37;0.9966;Mrz 37;0.51;10. Mai;5
07. Aug;0.545;0.12;02. Mai;0.068;11;35;0.996;Mrz 34;0.61;11. Jun;6
09. Jul;0.31;0.47;01. Jun;0.062;13;33;0.9983;Mrz 27;0.66;10;6
10. Jun;1.025;0.43;02. Aug;0.08;21;84;0.9985;03. Jun;0.57;10. Jan;5
08. Sep;0.565;0.34;3;0.093;16;112;0.9998;Mrz 38;0.61;09. Mai;5
08. Jul;0.69;0;03. Feb;0.084;13;33;0.9992;Mrz 36;0.45;09. Apr;5
8;0.43;0.36;02. Mrz;0.075;10;48;0.9976;Mrz 34;0.46;09. Apr;5
09. Sep;0.74;0.28;02. Jun;0.078;21;77;0.998;Mrz 28;0.51;09. Aug;5
07. Feb;0.49;0.18;02. Jul;0.069;13;34;0.9967;Mrz 29;0.48;09. Feb;6
8;0.43;0.36;02. Mrz;0.075;10;48;0.9976;Mrz 34;0.46;09. Apr;5
07. Jun;0.46;0.11;02. Jun;0.079;12;49;0.9968;Mrz 21;0.57;10;5
08. Apr;0.56;0.04;2;0.082;10;22;0.9976;Mrz 22;0.44;09. Jun;5
07. Jan;0.66;0;03. Sep;0.086;17;45;0.9976;Mrz 46;0.54;09. Mai;5
08. Apr;0.56;0.04;2;0.082;10;22;0.9976;Mrz 22;0.44;09. Jun;5
08. Sep;0.48;0.24;Feb 85;0.094;35;106;0.9982;03. Jan;0.53;09. Feb;5
07. Jun;0.42;0.08;02. Jul;0.084;15;48;0.9968;Mrz 21;0.59;10;5
07. Jan;0.31;0.3;02. Feb;0.053;36;127;0.9965;Feb 94;Jan 62;09. Mai;5
07. Mai;1.115;0.1;03. Jan;0.086;5;12;0.9958;Mrz 54;0.6;11. Feb;4
9;0.66;0.17;3;0.077;5;13;0.9976;Mrz 29;0.55;10. Apr;5
08. Jan;0.72;0.09;02. Aug;0.084;18;49;0.9994;Mrz 43;0.72;11. Jan;6
06. Apr;0.57;0.02;01. Aug;0.067;4;11;0.997;Mrz 46;0.68;09. Mai;5
06. Apr;0.57;0.02;01. Aug;0.067;4;11;0.997;Mrz 46;0.68;09. Mai;5
06. Apr;0.865;0.03;03. Feb;0.071;27;58;0.995;Mrz 61;0.49;12. Jul;6
09. Mai;0.55;0.66;02. Mrz;0.387;12;37;0.9982;Mrz 17;0.67;09. Jun;5
08. Sep;0.875;0.13;Mrz 45;0.088;4;14;0.9994;Mrz 44;0.52;11. Mai;5
07. Mrz;0.835;0.03;02. Jan;0.092;10;19;0.9966;Mrz 39;0.47;09. Jun;5
7;0.45;0.34;02. Jul;0.082;16;72;0.998;Mrz 55;0.6;09. Mai;5
07. Jul;0.56;0.2;2;0.075;9;39;0.9987;Mrz 48;0.62;09. Mrz;5
07. Jul;0.965;0.1;02. Jan;0.112;11;22;0.9963;Mrz 26;0.5;09. Mai;5
07. Jul;0.965;0.1;02. Jan;0.112;11;22;0.9963;Mrz 26;0.5;09. Mai;5
08. Feb;0.59;0;02. Mai;0.093;19;58;10.002;03. Mai;0.65;09. Mrz;6
9;0.46;0.23;02. Aug;0.092;28;104;0.9983;03. Jan;0.56;09. Feb;5
9;0.69;0;02. Apr;0.088;19;38;0.999;Mrz 35;0.6;09. Mrz;5
08. Mrz;0.76;0.29;04. Feb;0.075;12;16;0.9965;Mrz 45;0.68;11. Mai;6
09. Feb;0.53;0.24;02. Jun;0.078;28;139;0.99788;Mrz 21;0.57;09. Mai;5
06. Mai;0.615;0;01. Sep;0.065;9;18;0.9972;Mrz 46;0.65;09. Feb;5
11. Jun;0.41;0.58;02. Aug;0.096;25;101;100.024;Mrz 13;0.53;10;5
11. Jan;0.39;0.54;02. Jul;0.095;21;101;10.001;Mrz 13;0.51;09. Mai;5
07. Mrz;0.51;0.18;02. Jan;0.07;12;28;0.99768;Mrz 52;0.73;09. Mai;6
08. Feb;0.34;0.38;02. Mai;0.08;12;57;0.9978;03. Mrz;0.47;9;6
08. Jun;0.33;0.4;02. Jun;0.083;16;68;0.99782;03. Mrz;0.48;09. Apr;5
07. Feb;0.5;0.18;02. Jan;0.071;12;31;0.99761;Mrz 52;0.72;09. Jun;6
07. Mrz;0.51;0.18;02. Jan;0.07;12;28;0.99768;Mrz 52;0.73;09. Mai;6
08. Mrz;0.65;0.1;02. Sep;0.089;17;40;0.99803;Mrz 29;0.55;09. Mai;5
08. Mrz;0.65;0.1;02. Sep;0.089;17;40;0.99803;Mrz 29;0.55;09. Mai;5
07. Jun;0.54;0.13;02. Mai;0.097;24;66;0.99785;Mrz 39;0.61;09. Apr;5
08. Mrz;0.65;0.1;02. Sep;0.089;17;40;0.99803;Mrz 29;0.55;09. Mai;5
07. Aug;0.48;0.68;01. Jul;0.415;14;32;0.99656;03. Sep;01. Jun;09. Jan;6
07. Aug;0.91;0.07;01. Sep;0.058;22;47;0.99525;Mrz 51;0.43;10. Jul;6
06. Mrz;0.98;0.01;2;0.057;15;33;0.99488;03. Jun;0.46;11. Feb;6
08. Jan;0.87;0;02. Feb;0.084;10;31;0.99656;Mrz 25;0.5;09. Aug;5
08. Jan;0.87;0;02. Feb;0.084;10;31;0.99656;Mrz 25;0.5;09. Aug;5
08. Aug;0.42;0.21;02. Mai;0.092;33;88;0.99823;Mrz 19;0.52;09. Feb;5
9;0.58;0.25;02. Aug;0.075;9;104;0.99779;Mrz 23;0.57;09. Jul;5
09. Mrz;0.655;0.26;2;0.096;5;35;0.99738;Mrz 25;0.42;09. Jun;5
08. Aug;0.7;0;01. Jul;0.069;8;19;0.99701;Mrz 31;0.53;10;6
09. Mrz;0.655;0.26;2;0.096;5;35;0.99738;Mrz 25;0.42;09. Jun;5
09. Jan;0.68;0.11;02. Aug;0.093;11;44;0.99888;Mrz 31;0.55;09. Mai;6
09. Feb;0.67;0.1;3;0.091;12;48;0.99888;Mrz 31;0.54;09. Mai;6
08. Aug;0.59;0.18;02. Sep;0.089;12;74;0.99738;Mrz 14;0.54;09. Apr;5
07. Mai;0.6;0.32;02. Jul;0.103;13;98;0.99938;Mrz 45;0.62;09. Mai;5
07. Jan;0.59;0.02;02. Mrz;0.082;24;94;0.99744;Mrz 55;0.53;09. Jul;6
07. Sep;0.72;0.01;01. Sep;0.076;7;32;0.99668;Mrz 39;0.54;09. Jun;5
07. Jan;0.59;0.02;02. Mrz;0.082;24;94;0.99744;Mrz 55;0.53;09. Jul;6
09. Apr;0.685;0.26;02. Apr;0.082;23;143;0.9978;Mrz 28;0.55;09. Apr;5
09. Mai;0.57;0.27;02. Mrz;0.082;23;144;0.99782;Mrz 27;0.55;09. Apr;5
07. Sep;0.4;0.29;01. Aug;0.157;1;44;0.9973;03. Mrz;0.92;09. Mai;6
07. Sep;0.4;0.3;01. Aug;0.157;2;45;0.99727;Mrz 31;0.91;09. Mai;6
07. Feb;1;0;3;0.102;7;16;0.99586;Mrz 43;0.46;10;5
06. Sep;0.765;0.18;02. Apr;0.243;05. Mai;48;0.99612;03. Apr;0.6;10. Mrz;6
06. Sep;0.635;0.17;02. Apr;0.241;6;18;0.9961;03. Apr;0.59;10. Mrz;6
08. Mrz;0.43;0.3;03. Apr;0.079;7;34;0.99788;Mrz 36;0.61;10. Mai;5
07. Jan;0.52;0.03;02. Jun;0.076;21;92;0.99745;03. Mai;0.6;09. Aug;5
7;0.57;0;2;0.19;12;45;0.99676;Mrz 31;0.6;09. Apr;6
06. Mai;0.46;0.14;02. Apr;0.114;9;37;0.99732;Mrz 66;0.65;09. Aug;5
9;0.82;0.05;02. Apr;0.081;26;96;0.99814;Mrz 36;0.53;10;5
06. Mai;0.46;0.14;02. Apr;0.114;9;37;0.99732;Mrz 66;0.65;09. Aug;5
07. Jan;0.59;0.01;02. Mai;0.077;20;85;0.99746;Mrz 55;0.59;09. Aug;5
09. Sep;0.35;0.41;02. Mrz;0.083;11;61;0.9982;Mrz 21;0.5;09. Mai;5
09. Sep;0.35;0.41;02. Mrz;0.083;11;61;0.9982;Mrz 21;0.5;09. Mai;5
10;0.56;0.24;02. Feb;0.079;19;58;0.9991;Mrz 18;0.56;10. Jan;6
10;0.56;0.24;02. Feb;0.079;19;58;0.9991;Mrz 18;0.56;10. Jan;6
08. Jun;0.63;0.17;02. Sep;0.099;21;119;0.998;03. Sep;0.52;09. Mrz;5
07. Apr;0.37;0.43;02. Jun;0.082;18;82;0.99708;Mrz 33;0.68;09. Jul;6
08. Aug;0.64;0.17;02. Sep;0.084;25;130;0.99818;Mrz 23;0.54;09. Jun;5
07. Jan;0.61;0.02;02. Mai;0.081;17;87;0.99745;Mrz 48;0.6;09. Jul;6
07. Jul;0.6;0;02. Jun;0.055;7;13;0.99639;Mrz 38;0.56;10. Aug;5
10. Jan;0.27;0.54;02. Mrz;0.065;7;26;0.99531;Mrz 17;0.53;12. Mai;6
10. Aug;0.89;0.3;02. Jun;0.132;7;60;0.99786;Feb 99;Jan 18;10. Feb;5
08. Jul;0.46;0.31;02. Mai;0.126;24;64;0.99746;03. Jan;0.74;09. Jun;5
09. Mrz;0.37;0.44;01. Jun;0.038;21;42;0.99526;Mrz 24;0.81;10. Aug;7
09. Apr;0.5;0.34;03. Jun;0.082;5;14;0.9987;Mrz 29;0.52;10. Jul;6
09. Apr;0.5;0.34;03. Jun;0.082;5;14;0.9987;Mrz 29;0.52;10. Jul;6
07. Feb;0.61;0.08;4;0.082;26;108;0.99641;Mrz 25;0.51;09. Apr;5
08. Jun;0.55;0.09;03. Mrz;0.068;8;17;0.99735;Mrz 23;0.44;10;5
05. Jan;0.585;0;01. Jul;0.044;14;86;0.99264;Mrz 56;0.94;12. Sep;7
07. Jul;0.56;0.08;02. Mai;0.114;14;46;0.9971;Mrz 24;0.66;09. Jun;6
08. Apr;0.52;0.22;02. Jul;0.084;4;18;0.99682;Mrz 26;0.57;09. Sep;6
08. Feb;0.28;0.4;02. Apr;0.052;4;10;0.99356;Mrz 33;0.7;12. Aug;7
08. Apr;0.25;0.39;2;0.041;4;10;0.99386;Mrz 27;0.71;12. Mai;7
08. Feb;0.28;0.4;02. Apr;0.052;4;10;0.99356;Mrz 33;0.7;12. Aug;7
07. Apr;0.53;0.12;01. Sep;0.165;4;12;0.99702;Mrz 26;0.86;09. Feb;5
07. Jun;0.48;0.31;02. Aug;0.07;4;15;0.99693;Mrz 22;0.55;10. Mrz;6
07. Mrz;0.49;0.1;02. Jun;0.068;4;14;0.99562;03. Mrz;0.47;10. Mai;5
12. Sep;0.5;0.55;02. Aug;0.072;7;24;100.012;03. Sep;0.68;10. Sep;6
10. Aug;0.45;0.33;02. Mai;0.099;20;38;0.99818;Mrz 24;0.71;10. Aug;5
06. Sep;0.39;0.24;02. Jan;0.102;4;7;0.99462;Mrz 44;0.58;11. Apr;4
12. Jun;0.41;0.54;02. Aug;0.103;19;41;0.99939;Mrz 21;0.76;11. Mrz;6
10. Aug;0.45;0.33;02. Mai;0.099;20;38;0.99818;Mrz 24;0.71;10. Aug;5
09. Aug;0.51;0.19;03. Feb;0.081;8;30;0.9984;Mrz 23;0.58;10. Mai;6
10. Aug;0.29;0.42;01. Jun;0.084;19;27;0.99545;Mrz 28;0.73;11. Sep;6
07. Jan;0.715;0;Feb 35;0.071;21;47;0.99632;Mrz 29;0.45;09. Apr;5
09. Jan;0.66;0.15;03. Feb;0.097;9;59;0.99976;Mrz 28;0.54;09. Jun;5
7;0.685;0;01. Sep;0.099;9;22;0.99606;Mrz 34;0.6;09. Jul;5
04. Sep;0.42;0;02. Jan;0.048;16;42;0.99154;Mrz 71;0.74;14;7
06. Jul;0.54;0.13;2;0.076;15;36;0.9973;Mrz 61;0.64;09. Aug;5
06. Jul;0.54;0.13;2;0.076;15;36;0.9973;Mrz 61;0.64;09. Aug;5
07. Jan;0.48;0.28;02. Aug;0.068;6;16;0.99682;Mrz 24;0.53;10. Mrz;5
07. Jan;0.46;0.14;02. Aug;0.076;15;37;0.99624;Mrz 36;0.49;10. Jul;5
